ficha,concepto,calidad_ficha,mejor_similitud,similitud_promedio,fuente,tipo_fuente,ubicacion,pagina_o_bloque,similitud,detalle_similitud,cita_textual,fragmento_id,ruta_fuente,ubicaciones_agrupadas,observacion
9,fuentes consulta utilizadas,baja,0.0723,0.0676,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 11,11,0.0634,tfidf=0.0534; bonus=0.0100,"Ante esta situación, se requiere que la gerencia maneje las diversas situaciones que ocurren por estos efectos del mundo actual, por lo que la formación gerencial juega un papel importante para tal fin. La formación gerencial es una herramienta imprescindible en la toma de decisiones para fortalecer los lazos a todo nivel en la organización, donde se analizan como un todo interactuando entre sí, pero sin el criterio holístico y transdisciplinario (Canelones & Fuentes, 2015). Indistintamente, la decisión gerencial sigue una secuencia lógica la cual permite llegue la solución en el momento preciso.",soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0011_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"solano-toma-decisiones-gerenciales.pdf, p. 6; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 11; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 8",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto. Hay 3 referencia(s) de baja similitud que podrían introducir ruido.
10,implantación,media,0.1861,0.1441,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 4,4,0.1861,tfidf=0.1161; bonus=0.0700,Consideramos que la toma de decisiones es un proceso porque durante un periodo de tiempo se suceden una serie de etapas de forma secuencial como se muestra en la Figura 3. Inteligencia Diseño Selección Implantación Revisión Figura 3. Etapas del proceso de toma de decisiones.,canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0004_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 5; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 10","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
10,implantación,media,0.1861,0.1441,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 10,10,0.1242,tfidf=0.0542; bonus=0.0700,"211-230 La importancia de la decisión gerencial para generar un clima organizacional óptimo en una empresa El nuevo modelo gerencial de las organizaciones estimula a las empresas a sensibilizarse con la búsqueda de un programa que suponga distintas formas de reconocimiento. El reconocimiento al trabajo bien realizado; la atención, estudio y, si es factible, la implantación de ideas novedosas, son detalles que el nuevo enfoque de la calidad no deja escapar. Reconocimiento y recompensa La motivación y la formación son esenciales para ayudar a los trabajadores a comprender su papel en la satisfacción de los usuarios/clientes.",soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0010_f001,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 5; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 10","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
10,implantación,media,0.1861,0.1441,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 5,5,0.122,tfidf=0.0520; bonus=0.0700,D. Fase de implantación.,canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0005_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 5; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 10","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
11,incertidumbre,media,0.1561,0.14,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 3,3,0.1561,tfidf=0.0861; bonus=0.0700,"Un aspecto importante en la toma de decisiones es la información de la que dispone el decisor (Dixon, 1970). Las decisiones pueden tomarse en un contexto de certidumbre, incertidumbre o riesgo. En el primer caso, que es el más inusual en las empresas, se conocen todos los datos necesarios para tomar la decisión.",canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0003_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 2; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 3; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 12","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
11,incertidumbre,media,0.1561,0.14,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 2,2,0.1496,tfidf=0.0796; bonus=0.0700,"Cada día los directivos de cualquier nivel toman multitud de decisiones en las organizaciones. Por esto, definimos el concepto de decisión, realizamos una breve introducción sobre distintos enfoques sobre la toma de decisiones existentes en la literatura y reflexionamos sobre el grado de incertidumbre que influye en este proceso. Así mismo, explicamos el ciclo Información-Decisión-Acción.",canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0002_f001,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 2; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 3; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 12","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
11,incertidumbre,media,0.1561,0.14,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 12,12,0.1143,tfidf=0.0443; bonus=0.0700,"4, Octubre-diciembre 2020, pp. 211-230 La importancia de la decisión gerencial para generar un clima organizacional óptimo en una empresa Del mismo modo, la toma de decisiones es una clara acción que busca evitar la incertidumbre que genera un nuevo plan o acción. Pero para lograrlo, es necesario que el análisis del proceso de toma de decisiones contemple aquellos elementos que juegan un papel importante en el agente decisor, como lo son sus deseos, sus creencias y sus preferencias (Arrendondo & Vázquez, 2013).",soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0012_f001,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 2; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 3; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 12","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon referencias de múltiples fuentes para enriquecer el concepto."
12,información,alta,0.3451,0.2736,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 4,4,0.3451,tfidf=0.2751; bonus=0.0700,"es útil antes de la toma de decisiones, pero también enriquece la solución final si se incorpora paulatinamente durante todo el proceso. Por supuesto, a más información, más garantía de éxito en la toma de decisiones, pero hay que tener en cuenta la relación directa entre la información, su coste y el tiempo de recopilación, resumen, etc. Actualmente existe tal cantidad de información sobre cualquier hecho que llega a sobrepasar la capacidad humana de búsqueda y síntesis, por lo que son útiles las bases de datos u otros sistemas de información computerizados (Gil Pechuán, 1994;1996).",canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0004_f001,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 8; solano-toma-decisiones-gerenciales.pdf, p. 6",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
12,información,alta,0.3451,0.2736,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 8,8,0.2466,tfidf=0.1766; bonus=0.0700,"[6] Gil Pechuán, I.: “Sistemas de información para la gestión empresarial”, Universidad Politécnica de Valencia, 1994. [7] González Ramírez, M.R.: “Sistemas de información para la empresa”, Publicaciones de la Universidad de Alicante, 2001. [8] Greenwood, W.: “Teoría de decisiones y sistemas de información”, Trillas, México, 1978.",canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0008_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 8; solano-toma-decisiones-gerenciales.pdf, p. 6",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
12,información,alta,0.3451,0.2736,solano-toma-decisiones-gerenciales.pdf,pdf,p. 6,6,0.2292,tfidf=0.1592; bonus=0.0700,"Cuando el gerente debe tomar una decisión, busca la información necesaria para llegar a la conclusión que crea más conveniente. Una forma de obtenerla es consultar a diferentes profesionales en la materia acerca del punto en estudio, con el fin de analizar las posibles soluciones.",solano_toma_decisiones_gerenciales_cfff4af2eb_b0006_f003,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/solano-toma-decisiones-gerenciales.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 8; solano-toma-decisiones-gerenciales.pdf, p. 6",La ficha presenta una coincidencia fuerte con el concepto buscado. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
13,inteligencia,media,0.213,0.1705,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 7,7,0.213,tfidf=0.1430; bonus=0.0700,"1. Decisiones estructuradas (=decisiones programadas).  Las tres fases principales (inteligencia, diseño y elección) son estructuradas.  Se usan métodos matemáticos y reglas de decisión en todas las fases. 2.",canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0007_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 5; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 7","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
13,inteligencia,media,0.213,0.1705,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 4,4,0.1794,tfidf=0.1094; bonus=0.0700,Consideramos que la toma de decisiones es un proceso porque durante un periodo de tiempo se suceden una serie de etapas de forma secuencial como se muestra en la Figura 3. Inteligencia Diseño Selección Implantación Revisión Figura 3. Etapas del proceso de toma de decisiones.,canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0004_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 5; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 7","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
13,inteligencia,media,0.213,0.1705,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 5,5,0.1189,tfidf=0.0489; bonus=0.0700,"Las fases son las siguientes (de Miguel, 1993; Moody, 1991; Hubert, 1984; Simon, 1977): A. Fase de inteligencia. Consiste en identificar y definir el problema para el que se pretende tomar una decisión (Greenwood, 1978).",canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0005_f001,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 5; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 7","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
14,lectura,baja,0.1295,0.1295,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 2,2,0.1295,tfidf=0.0595; bonus=0.0700,"Así mismo, explicamos el ciclo Información-Decisión-Acción. 2 Objetivos Cuando el usuario de este artículo termine su lectura será capaz de:  Reconocer diferentes enfoques sobre la toma de decisiones en la empresa.  Identificar el grado de incertidumbre que debe tener en cuenta el decisor a la hora de tomar decisiones.  Reproducir el ciclo Información-Decisión-Acción.  Diferenciar las distintas etapas que conforman el proceso de toma de decisiones en la empresa.  Comparar distintos tipos de decisiones según el nivel jerárquico donde se toma la decisión, según el método utilizado y de acuerdo con un criterio sintético. 3 Introducción",canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0002_f001,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 2",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas.
15,materiales unidad,sin hallazgos,0.0,0.0,,,,,,,,,,Sin ubicaciones detectadas,No se localizaron fragmentos por encima del umbral configurado. Conviene revisar el concepto o ampliar el corpus.
16,propuesta modelo,media,0.1589,0.1194,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 5,5,0.1589,tfidf=0.1489; bonus=0.0100,"Esto se realiza a través de Pruebas para Medir el Clima Organizacional (PMCO). Según Cárdenas & Villamizar (2008) comentan que una característica distintiva de este modelo es que concibe el comportamiento organizacional como el resultado de la interacción de factores individuales, grupales y organizacionales (Niño, Rodríguez, & Cárdenas, 2009). En la Figura 2 se puede observar el modelo de intervención de la PMCO.",soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0005_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 10; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 5","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
16,propuesta modelo,media,0.1589,0.1194,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 10,10,0.1121,tfidf=0.1021; bonus=0.0100,"4, Octubre-diciembre 2020, pp. 211-230 La importancia de la decisión gerencial para generar un clima organizacional óptimo en una empresa El nuevo modelo gerencial de las organizaciones estimula a las empresas a sensibilizarse con la búsqueda de un programa que suponga distintas formas de reconocimiento. El reconocimiento al trabajo bien realizado; la atención, estudio y, si es factible, la implantación de ideas novedosas, son detalles que el nuevo enfoque de la calidad no deja escapar.",soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0010_f001,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 10; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 5","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
16,propuesta modelo,media,0.1589,0.1194,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 10,10,0.0871,tfidf=0.0771; bonus=0.0100,El nuevo modelo de gestión empresarial contempla en el diseño de sus productos y servicios los siguientes aspectos: se diseñará a partir de la identificación de las necesidades de los clientes/usuarios; así como se reevaluarán sus requerimientos mediante la ejecución de investigaciones sistemáticas; se involucrará en el proceso de diseño a los trabajadores que se encuentran en contacto directo con los usuarios y se reconsiderará la capacidad de respuesta de la organización ante cada nuevo requerimiento.,soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0010_f003,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 10; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 5","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
17,racionalidad limitada,sin hallazgos,0.0,0.0,,,,,,,,,,Sin ubicaciones detectadas,No se localizaron fragmentos por encima del umbral configurado. Conviene revisar el concepto o ampliar el corpus.
18,retroalimentación,baja,0.1346,0.1294,soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,pdf,p. 6,6,0.1346,tfidf=0.0646; bonus=0.0700,"Proporciona retroalimentación acerca de los procesos que afectan el comportamiento organizacional y permite desarrollar planes de mejoramiento orientados al cambio de actitudes y conductas de los involucrados a través del mejoramiento de los factores diagnosticados, con el fin de elevar los niveles de motivación y rendimiento profesional, incluso, algunas de las herramientas examinan las causas y permiten a los encuestados plantear sus propias soluciones. (Segredo Pérez, Clima organizacional en la gestión del cambio para el desarrollo de la organización, 2013, pág.",soto_chavez_y_colaboradores_2020_decision_gerencial_clima_organizacional_e21f9a24e3_b0006_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 3; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 6",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
18,retroalimentación,baja,0.1346,0.1294,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 3,3,0.1243,tfidf=0.0543; bonus=0.0700,"Por tanto, en la empresa existen múltiples objetivos de diferente cariz. En este contexto, para evitar la incertidumbre se siguen procedimientos estándar, reglas sencillas y se utiliza la retroalimentación. Normalmente se elige la primera alternativa que se encuentra satisfactoria y no se siguen analizando el resto de alternativas.",canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0003_f001,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 3; soto-chavez-y-colaboradores-2020-decision-gerencial-clima-organizacional.pdf, p. 6",La ficha presenta coincidencias débiles; se recomienda validar manualmente las citas. Se agruparon referencias de múltiples fuentes para enriquecer el concepto.
19,revisión,media,0.1948,0.172,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 4,4,0.1948,tfidf=0.1248; bonus=0.0700,Consideramos que la toma de decisiones es un proceso porque durante un periodo de tiempo se suceden una serie de etapas de forma secuencial como se muestra en la Figura 3. Inteligencia Diseño Selección Implantación Revisión Figura 3. Etapas del proceso de toma de decisiones.,canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0004_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 5","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
19,revisión,media,0.1948,0.172,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 5,5,0.1491,tfidf=0.0791; bonus=0.0700,E. Fase de revisión. Sirve para comprobar si la puesta en marcha de la decisión es la más adecuada y si se alcanzan los resultados deseados.,canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0005_f003,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 5","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
20,selección,media,0.1794,0.1387,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 4,4,0.1794,tfidf=0.1094; bonus=0.0700,Consideramos que la toma de decisiones es un proceso porque durante un periodo de tiempo se suceden una serie de etapas de forma secuencial como se muestra en la Figura 3. Inteligencia Diseño Selección Implantación Revisión Figura 3. Etapas del proceso de toma de decisiones.,canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0004_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 5; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 7","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
20,selección,media,0.1794,0.1387,canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,pdf,p. 5,5,0.119,tfidf=0.0490; bonus=0.0700,C. Fase de selección. Consiste en la elección de una alternativa.,canos_y_colaboradores_toma_decisiones_empresa_proceso_clasificacion_af2602b867_b0005_f002,/home/ubuntu/projects/AulaTeX-Academico/ITESCA/maestria-en-gestion-administrativa/fundamentos-de-gestion-administrativa-mga/referencias-fundamentos-de-gestion-administrativa/unidad-3-toma-de-decisiones/canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf,"canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 4; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 5; canos-y-colaboradores-toma-decisiones-empresa-proceso-clasificacion.pdf, p. 7","La ficha presenta coincidencias útiles, pero conviene revisar la pertinencia de cada cita. Se agruparon varias referencias dentro de la misma fuente."
